As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
4,8,9,20,2.5,78,380,2,25,2.79999995,66,536371.6186,6089222.417
-1,-1,-2,4,1.25,-10,140,2,-2,0.2,36,536470.5006,6308723.91
-1,4,9,27,2,37,500,-2,17,2,68,536571.3875,6095422.487
4,0,30,77,9.60000038,103,435,6,16,-0.5,73,536611.4663,6321012.761
2,7,2,16,0.80000001,80,120,3,8,0.2,36,536671.1654,6265522.702
1,-1,10,30,2.6500001,16,425,-2,28,3.29999995,76,536771.6066,6122822.232
-1,3,3,16,1.5,18,250,3,4,2.5999999,76,537170.5514,6298223.171
3,10,13,69,3.20000005,120,565,2,39,4.5,114,537271.4775,6172622.92
1,11,21,77,2,110,655,3,35,3.79999995,86,537371.1752,6199122.534
2,4,-2,7,0.30000001,50,110,2,9,7,24,537671.2338,6236222.36
2,5,18,37,3.6500001,36,550,3,44,3,116,537671.3419,6156922.3
2,-1,13,29,3.5999999,40,740,2,33,1.5,124,537770.99,6248822.58
5,0,8,51,1.29999995,156,395,-2,20,0.2,94,537771.4384,6169622.093
-1,-1,-2,9,2.1500001,24,80,2,4,0.69999999,50,537870.5527,6313023.201
1,-1,8,13,2.0999999,50,360,2,15,5,78,537871.3617,6253622.183
1,-1,6,11,2.29999995,34,420,2,9,2.5,62,537970.9674,6271522.709
5,12,21,43,7.25,112,610,2,67,2,156,537971.3595,6207722.468
-1,4,5,23,5.44999981,38,470,2,5,2.20000005,80,538070.5138,6309123.127
3,-1,18,50,1.35000002,32,200,2,32,4.69999981,60,538071.1578,6123922.771
5,9,7,31,1.70000005,70,360,3,23,7.5,66,538170.8129,6258922.362
4,6,6,68,1.20000005,58,180,4,9,2.0999999,74,538170.8675,6292823.169
1,4,8,23,5,40,3850,3,22,8,84,538171.2581,6242622.747
2,-1,7,9,0.89999998,19,130,2,12,1.29999995,28,538171.3209,6113823.124
5,5,6,21,1.10000002,74,220,-2,8,8.89999962,66,538271.2687,6120622.426
1,3,5,7,1.10000002,22,1250,-2,11,0.2,28,538271.3331,6140322.197
-1,4,5,22,2,34,190,7,16,2,116,538370.6402,6301923.276
3,4,16,35,3.1500001,25,900,2,47,3.9000001,104,538370.9839,6192622.062
3,5,17,42,3.3499999,36,415,2,44,3,112,538371.3454,6162122.496
3,5,3,16,1,64,150,2,17,2,48,538371.4132,6090423.254
3,3,12,29,2.75,23,525,2,27,34,90,538371.4272,6129822.608
2,9,5,38,4,78,630,3,44,3,120,538470.9591,6183322.564
-1,0,9,58,5.0999999,60,500,3,24,1.39999998,92,538471.0759,6105522.192
3,-1,9,22,1.70000005,48,200,-2,26,5,106,538471.2279,6227722.124
-1,4,4,30,3.95000005,62,450,2,7,3.79999995,80,538570.7394,6294722.662
2,5,13,22,6,29,2350,3,18,16.5,104,538571.0213,6230622.606
3,-1,14,18,4.4000001,102,825,5,23,48,156,538571.1139,6238422.129
5,6,30,28,6.5,26,1200,5,56,1.29999995,164,538571.1398,6210022.923
1,7,88,39,4.9000001,84,1600,4,26,1,100,538571.3389,6204222.825
-1,0,10,41,1.01999998,77,230,-2,13,29.89999962,100,538654.7481,6320233.129
1,-1,11,68,1.85000002,50,305,3,22,35.20000076,126,538671.2458,6125222.206
6,7,20,37,1.60000002,56,240,3,34,3,86,538771.0917,6155122.125
-1,-1,15,46,8,48,450,2,44,11,144,538771.1457,6224622.666
1,-1,10,27,2.5,68,200,2,33,3,106,538771.244,6217122.745
3,-1,13,28,3.25,37,430,2,33,2.9000001,92,538771.2967,6189422.34
-1,4,7,18,1,47,410,-2,13,1,42,538771.5638,6097522.105
5,4,5,45,2.79999995,34,590,3,42,2,104,538871.5351,6187321.85
-1,-1,2,20,2.20000005,52,340,3,7,7.19999981,90,538970.5772,6316023.614
1,-1,6,22,2.0999999,29,750,3,14,0.5,66,538970.8622,6263622.775
1,4,11,37,2.5,44,450,3,35,5.19999981,90,538971.057,6143822.97
7,-1,26,33,7.19999981,56,2150,3,39,3.5,104,538971.2423,6174022.304
1,5,9,23,4.0999999,58,305,-2,28,3,96,538971.305,6219822.653
2,-1,13,27,5.5,40,1800,5,25,7,96,539070.8683,6247222.569
2,-1,16,35,5.9000001,48,2250,5,23,5,84,539071.2296,6257022.644
3,9,11,57,2.70000005,108,435,-2,42,3,110,539071.3616,6179522.551
2,4,11,25,2.45000005,22,835,-2,30,0.2,72,539071.4318,6133422.378
1,5,18,60,2.9000001,68,615,3,41,1.5,128,539071.4828,6152222.193
1,0,7,21,10.39999962,65,405,-2,8,6.5999999,130,539134.1838,6328651.823
-1,0,10,38,1.78999996,84,315,-2,19,24.10000038,87,539145.7101,6326027.914
7,0,20,20,22.60000038,85,5750,28,9,35.70000076,140,539168.474,6337088.714
4,-1,4,14,0.89999998,44,170,2,12,0.2,42,539171.0578,6265922.22
1,-4,4,5,1.70000005,40,220,2,-2,0.80000001,42,539171.1207,6280223.189
4,7,11,42,3.5,60,640,2,38,4.5,98,539171.4922,6148022.792
1,0,12,30,9.30000019,106,685,4,17,4.5999999,120,539258.6219,6333274.293
-1,7,10,125,3.29999995,72,735,4,25,1.79999995,96,539271.2729,6196422.257
10,5,18,28,3.75,46,7000,-2,31,0.2,80,539371.2174,6137422.694
3,-1,9,8,2.0999999,26,405,3,8,1.5,50,539671.2423,6273022.339
2,0,15,74,2.4000001,68,180,3,120,4,166,539771.2896,6215822.929
3,4,10,38,2.3499999,40,480,2,27,1.39999998,88,539771.3194,6101422.631
-1,-1,5,22,2.25,62,610,3,7,2.9000001,102,539870.749,6305623.318
-1,0,15,17,4.80000019,39,710,-2,12,27.5,120,539946.6418,6322825.984
-1,0,4,11,0.93000001,30,210,2,8,3.29999995,100,540345.6211,6337230.405
3,7,12,46,3.70000005,76,600,3,39,3,112,540371.468,6165922.433
2,-1,10,21,1.75,47,675,-2,21,1.39999998,106,540371.5879,6095222.621
2,0,17,32,17.89999962,65,640,14,13,19.5,140,540499.5202,6329806.161
-1,-1,3,15,3.04999995,34,220,2,11,3.4000001,74,540570.8448,6291822.83
-1,0,6,18,3.79999995,84,125,2,11,9.5,90,540789.5495,6320784.65
2,-1,8,23,2.20000005,28,1150,2,26,3,122,540871.0969,6251522.825
-1,7,9,78,2.1500001,75,560,4,20,0.2,88,540971.0354,6197022.403
7,0,12,28,1.39999998,76,430,2,35,1.70000005,50,540971.3164,6092322.428
1,5,10,32,2.45000005,64,360,2,22,2.4000001,86,541171.233,6104923.136
6,4,22,53,6.19999981,40,1200,2,47,3.5,124,541271.0366,6150822.206
-1,1,6,16,3.8499999,0,380,3,9,6.80000019,86,541370.6467,6306623.219
3,7,4,48,2.70000005,44,810,5,38,2.5,100,541370.9511,6186821.861
7,8,38,50,9,40,2800,5,65,1.5,140,541371.4337,6206622.92
5,5,31,48,4.4000001,48,1000,3,71,4,130,541371.4546,6183022.055
-1,6,9,14,1.5,84,295,4,7,2.4000001,52,541470.9471,6284822.846
-1,-1,5,7,1.10000002,-10,180,2,6,5.5,44,541471.2133,6245622.432
5,10,8,54,4,100,640,4,47,4,140,541471.3391,6189622.103
6,-1,13,64,1.20000005,114,170,2,45,0.5,94,541471.4544,6172722.05
-1,3,4,12,1.85000002,14,230,2,5,2.79999995,40,541570.8568,6312423.062
5,6,12,37,1.5,58,270,3,29,0.2,96,541571.0043,6209722.516
9,8,9,30,0.86000001,80,330,-2,21,1.89999998,44,541671.142,6094022.721
5,7,9,27,3.20000005,58,380,3,34,0.5,100,541671.3051,6165021.988
3,14,33,110,5.9000001,152,370,3,104,7,178,541771.0117,6176221.995
2,-1,9,27,3.70000005,78,160,2,38,2.5,116,541771.126,6228422.135
4,11,24,51,10,110,2450,4,23,2,116,541771.157,6260123.062
-1,-1,4,7,0.67000002,10,110,2,6,1.10000002,24,541771.251,6270923.223
10,10,11,18,1.79999995,76,290,2,28,1.10000002,60,541771.5142,6089022.371
-1,-2,2,13,2.1500001,34,180,2,5,1.39999998,56,541870.533,6293222.785
2,-1,17,18,6.5,38,1350,3,24,4.5,168,541871.1435,6254622.739
-1,7,9,110,1.79999995,64,560,3,22,1.79999995,82,541871.2123,6198821.944
-1,-1,6,18,2.29999995,38,395,2,14,18,90,541871.2403,6243221.987
8,9,10,65,2,56,480,3,43,2,98,541871.3709,6148022.112
-1,6,5,16,3.79999995,56,230,3,8,1.5,82,541970.7714,6308422.7
1,-2,17,12,4.5,48,675,3,22,2.5,120,541970.9132,6232022.691
2,10,10,21,4,110,520,5,18,9.5,140,541971.0378,6235222.912
2,5,13,25,3.0999999,22,685,2,34,1.39999998,90,541971.149,6136822.352
1,6,9,65,2.04999995,30,310,3,35,4.5,100,541971.3736,6193522.57
-1,0,7,25,1.45000005,77,190,2,15,39.79999924,120,542057.3457,6326313.752
2,-1,4,8,2.5999999,38,735,3,2,2,56,542170.5513,6287223.275
-1,8,3,17,1.14999998,69,270,2,6,1.39999998,60,542170.6077,6299023.327
2,5,10,29,0.75,54,500,3,22,1.5,66,542171.2472,6112422.333
1,3,13,23,3.5999999,30,1150,2,31,1,82,542171.3674,6141722.301
7,-1,9,21,1.79999995,36,285,2,21,6.30000019,72,542271.6743,6129722.444
4,5,11,37,2.29999995,70,450,-2,29,0.5,82,542370.9654,6266022.263
2,5,13,24,3.1500001,40,900,2,33,2.20000005,86,542371.0663,6144122.638
1,2,16,36,3.20000005,19,535,2,48,2.9000001,96,542371.0882,6120122.183
3,-1,10,21,2.5999999,68,425,2,23,1,84,542371.4939,6222622.109
2,5,4,13,1.79999995,58,180,-2,21,1,76,542371.5023,6217022.133
1,4,5,6,0.89999998,16,170,-2,3,1.79999995,32,542570.8515,6280222.943
2,7,10,30,3.79999995,98,370,-2,44,3.5,126,542570.9299,6178622.748
-1,8,4,23,2,90,370,3,20,10.5,86,542671.2707,6237621.979
-1,5,11,15,6,40,5500,4,4,0.2,156,542770.3448,6315323.108
-1,-1,5,4,0.69999999,-10,120,-2,6,4.5,36,542771.0114,6248623.032
3,-1,12,48,1.70000005,57,360,3,22,4.5,110,542971.1006,6103222.944
3,6,6,20,1.70000005,82,425,3,24,1,82,543070.9606,6223322.559
-1,-1,2,5,0.75,-10,110,-2,2,0.5,26,543070.978,6301422.686
5,9,16,65,2,80,450,2,30,2.29999995,110,543071.052,6158122.841
4,5,11,51,2,58,380,2,36,2.5999999,96,543170.9427,6162822.795
6,5,16,62,2.5,51,345,2,41,3.5,116,543171.0693,6154822.722
6,8,21,67,5.19999981,98,925,3,33,1.5,110,543171.1498,6169422.909
3,0,20,85,2.75,56,430,3,40,13.89999962,130,543171.2196,6117522.333
2,3,13,37,3.25,30,450,-2,38,4.0999999,90,543271.182,6121822.52
-1,5,7,21,1,40,180,2,16,2.5999999,80,543371.1561,6098522.615
2,4,11,27,2.20000005,30,310,-2,35,7,100,543371.1577,6133723.002
2,14,10,18,2.04999995,170,560,2,16,1.5,110,543671.0564,6096222.97
-1,6,19,55,1.39999998,37,200,2,30,3.0999999,80,543771.3202,6108022.902
7,9,7,38,0.85000002,66,220,2,19,11.30000019,72,543771.3702,6126222.397
1,-1,5,13,2.45000005,28,410,2,6,1.70000005,70,543970.9724,6299422.673
-1,5,7,8,1.29999995,50,210,2,5,1.79999995,46,543971.1317,6279622.897
4,0,14,23,22.70000076,84,1520,8,8,7.30000019,180,544014.579,6330505.805
10,14,9,28,1.20000005,134,515,3,20,1.29999995,112,544071.3657,6094022.436
-1,0,10,9,2.79999995,29,615,-2,9,3.9000001,68,544104.5846,6333415.906
1,0,10,25,5.5999999,65,575,-2,13,13.30000019,100,544169.2836,6326061.952
-1,-2,7,15,2.4000001,54,480,2,8,0.60000002,62,544170.9211,6283122.761
-1,-1,4,4,0.85000002,-10,200,-2,2,1,30,544170.9613,6301222.697
-1,0,7,23,4.5,77,345,-2,13,6.80000019,120,544219.4813,6322897.32
2,5,6,23,1.79999995,58,210,2,21,2.5,84,544371.0083,6228022.063
-1,8,6,63,1.79999995,80,305,3,25,3.4000001,96,544371.0094,6204422.308
2,6,18,58,3,28,585,2,51,5.30000019,126,544571.2223,6196022.927
3,-1,7,11,2.20000005,38,305,3,8,71,106,544671.1478,6245122.849
1,9,16,23,7.25,70,705,4,24,3,116,544971.1212,6238023.013
4,5,31,72,3.54999995,22,8500,5,43,0.2,110,544971.4049,6200222.229
4,11,8,115,1.79999995,154,500,3,37,1,94,545070.9683,6207422.502
5,9,9,28,3.70000005,68,350,2,29,2,98,545170.9424,6222022.964
4,7,5,34,2.20000005,36,350,3,15,2,78,545171.3191,6105522.835
4,9,17,54,3.29999995,110,705,3,42,1.5,148,545171.4731,6165422.962
3,6,13,22,3,42,430,5,15,2.0999999,138,545270.7779,6275822.8
8,5,11,56,0.94999999,42,230,2,21,7.5999999,68,545271.0878,6128722.696
1,6,13,28,3.5999999,78,490,2,27,2.5,106,545271.157,6234022.223
2,-1,17,13,4,28,1050,3,21,11,116,545271.2892,6249822.299
2,4,13,40,3.0999999,44,430,2,36,4.19999981,86,545271.3064,6137422.649
6,11,10,60,3.5999999,92,525,3,35,5.5,116,545370.9601,6185022.005
1,-1,6,14,2,14,550,2,13,3.70000005,68,545371.0994,6272722.845
8,13,15,23,2.70000005,120,610,2,21,0.2,96,545371.105,6091422.381
6,3,3,17,1.60000002,18,360,3,7,1,46,545371.3723,6102922.887
1,-1,11,26,6.25,48,610,3,28,3.5,106,545471.329,6230821.86
-1,3,9,10,2.0999999,26,305,-2,7,2,58,545570.9911,6281122.807
4,7,13,72,2.1500001,88,330,2,50,3.20000005,112,545571.1337,6157822.064
6,7,13,71,4.5,62,3400,6,44,3.5,116,545571.2213,6192021.879
2,-1,6,14,1.70000005,22,150,3,14,1.5,50,545571.2492,6268923.363
2,12,25,88,3.8499999,120,1950,5,79,4.5,158,545571.2614,6182122.538
4,-2,3,34,3.79999995,0,170,0,14,0.2,52,545571.3227,6152222.616
3,-1,15,20,2.29999995,46,380,2,22,0.89999998,88,545571.4139,6211922.439
-1,0,5,18,7,36,285,16,11,10.30000019,120,545622.358,6340854.622
1,-1,8,13,1.70000005,29,240,-2,13,0.2,62,545671.0386,6263222.561
3,6,12,28,2.29999995,68,545,4,13,64,102,545671.2926,6243222.208
4,3,13,53,2.6500001,19,380,-2,39,4.30000019,82,545671.2945,6133122.97
-1,0,8,18,1,52,265,-2,14,7.9000001,73,545731.282,6320728.307
4,5,21,38,4,58,1100,5,14,1.5,78,545771.2179,6266922.857
3,8,17,51,2.75,80,360,3,47,3.20000005,120,545771.4644,6162122.449
2,-1,11,24,2.29999995,44,415,-2,29,3,80,545871.1669,6168822.734
7,6,9,14,0.89999998,44,295,3,17,1,96,545871.4168,6097823.112
12,10,11,28,2.0999999,90,200,3,37,1.89999998,56,545871.5292,6089822.692
2,11,24,58,2.5999999,100,490,3,42,0.2,176,545970.9283,6256922.849
3,8,2,42,2.29999995,66,320,4,24,4.5,80,545971.4414,6190222.954
6,0,7,29,1.70000005,44,265,3,13,3,72,545971.6062,6111522.987
-1,0,5,14,3.5999999,24,335,2,11,3.79999995,140,545972.4545,6337474.523
3,19,12,53,2.04999995,260,460,2,39,2.5999999,84,546071.3503,6117023.006
6,5,11,38,3.4000001,44,680,-2,41,2.5,106,546071.3545,6147423.095
4,8,21,65,4.19999981,64,625,2,38,3,116,546171.4764,6155022.499
-1,-1,4,17,3.25,38,290,3,8,2.79999995,74,546270.6037,6307623.461
10,8,12,40,2.70000005,44,425,4,39,3.5,88,546271.5434,6144322.22
2,3,13,14,5.30000019,26,4350,4,10,0.2,98,546370.5475,6292423.298
3,8,2,15,1.20000005,78,110,2,24,1.5,44,546371.1417,6224823.057
1,5,11,33,1.29999995,62,1100,3,36,6.5,330,546371.285,6253122.303
-1,-1,6,12,10.80000019,60,450,5,-2,2.20000005,58,546470.7915,6315523.363
6,-1,33,55,3.5999999,114,850,3,33,4.5,104,546470.9829,6176522.352
2,9,11,25,3.5,88,835,3,33,2.5,84,546471.5162,6141922.532
-1,-1,3,8,0.75,16,130,-2,9,0.2,24,546571.1508,6121622.261
6,10,15,75,3.79999995,124,825,2,45,4,126,546571.4066,6173121.992
-1,-1,3,17,4.94999981,18,330,2,4,2.20000005,66,546670.7228,6310823.07
4,0,2,20,4.4000001,78,220,-2,8,3,62,546671.5392,6219022.521
2,-1,8,18,1.89999998,34,435,-2,12,0.2,70,546770.8748,6259222.605
3,9,11,45,2.5999999,88,320,-2,35,0.2,96,546871.1418,6215722.094
1,3,3,7,1.70000005,18,570,3,4,1.29999995,44,546971.0501,6293922.919
1,2,8,46,1.64999998,24,330,3,41,1,68,546971.1437,6119523.028
1,5,9,45,1.75,56,350,-2,47,2.29999995,102,547171.4248,6126222.851
-1,0,8,18,5.19999981,84,360,-2,12,7.4000001,120,547429.8145,6323761.234
-1,-1,2,10,1,22,170,-2,6,2.9000001,48,547470.4654,6307723.848
-1,4,10,17,6.94999981,48,1450,3,4,2,78,547570.8344,6302723.014
2,-1,11,10,8,26,13500,2,8,0.2,74,547570.9348,6288722.975
1,4,8,22,1.60000002,34,300,-2,23,1.79999995,76,547571.4826,6134022.296
-1,0,12,43,9,100,660,2,18,6.4000001,130,547691.5939,6329670.574
-1,-1,7,7,5.9000001,18,720,4,6,18,88,547771.1373,6245722.118
3,7,7,27,1.20000005,58,230,2,19,0.2,40,547771.1407,6217622.092
7,11,10,87,2.29999995,132,630,3,38,1.5,120,547971.1186,6209622.158
6,8,10,48,1.75,64,390,2,41,1,76,548071.1371,6120822.491
3,0,8,14,5.4000001,45,390,-2,5,4.19999981,100,548073.7102,6319770.652
3,7,11,68,1.5,60,280,3,49,0.89999998,66,548171.3349,6122722.266
4,8,7,58,2,86,210,-2,37,4,102,548171.3845,6187022.313
6,7,5,17,1.20000005,36,340,3,11,1.5,56,548271.5487,6096522.938
-1,3,3,13,0.94999999,21,110,2,18,1.70000005,70,548371.0055,6297922.871
1,8,13,27,2.3499999,120,360,-2,34,1.5,80,548571.0961,6127022.634
1,5,20,70,3.54999995,30,2250,4,58,4.69999981,120,548770.9379,6200623.064
7,6,18,43,6.4000001,60,1300,7,22,1.5,172,548771.2519,6099022.407
7,6,5,19,2.79999995,44,240,4,12,1.5,94,548771.2732,6104223.086
1,8,12,61,3.3499999,110,1100,3,34,1.70000005,102,548771.3257,6205722.162
12,10,10,27,1.79999995,76,190,3,33,0.80000001,52,548771.3457,6089623.034
5,6,25,83,4.3499999,50,1550,4,68,8.60000038,200,548771.3739,6174522.917
12,11,9,22,1.70000005,96,235,2,31,0.5,48,548771.4727,6091023.084
2,6,8,28,1.39999998,58,210,-2,35,5,66,548771.4894,6232122.818
5,7,12,110,3,82,1700,7,42,16.5,160,548870.962,6191821.923
2,11,12,45,2.20000005,108,360,10,36,4,106,548870.9757,6181422.731
3,5,16,18,3.20000005,40,1650,2,23,8.5,90,548971.1879,6260423.114
3,7,6,28,2.4000001,88,285,2,21,5.5,76,548971.4184,6227823.034
2,4,10,23,2.5999999,42,605,4,35,1.5,104,549070.9288,6286122.736
10,8,7,16,1,90,170,2,20,0.5,36,549071.1188,6089622.977
6,8,9,73,2.0999999,51,285,3,47,2.5,94,549071.4118,6148722.174
3,6,7,33,1.79999995,58,725,2,15,0.2,76,549071.4576,6213422.498
-1,3,3,13,1.45000005,18,250,-2,5,6.69999981,50,549170.5035,6312022.741
2,-1,10,23,2.0999999,92,295,3,20,56,86,549171.4113,6251022.071
5,5,22,29,3.29999995,34,715,2,41,3,80,549271.4294,6189022.623
-1,-1,4,56,2.25,60,510,5,10,3.4000001,70,549370.397,6315623.239
-1,5,7,18,3,54,425,2,5,2,88,549370.7461,6281922.662
6,7,42,61,6.25,66,2400,3,41,4.5,132,549370.9453,6162222.815
6,9,36,58,5.80000019,66,2200,5,81,8,230,549371.4039,6169421.923
-1,-1,7,16,3,18,550,3,10,3.70000005,62,549471.0451,6276422.237
6,7,5,24,1.29999995,51,285,2,18,0.2,56,549471.1505,6113223.33
3,4,19,38,2.95000005,30,835,3,39,3,136,549471.3043,6163822.26
6,0,24,50,6.4000001,68,1350,5,25,5,225,549471.4848,6109123.261
2,-1,15,23,3.29999995,18,1750,4,24,4.30000019,100,549570.8098,6273423.261
-1,4,10,25,2.3499999,34,280,-2,36,2.20000005,90,549571.029,6128822.264
5,9,18,85,2.5999999,98,665,5,72,10,164,549571.176,6172322.555
3,5,11,41,3,14,320,2,34,2.29999995,80,549571.2684,6152422.949
6,6,17,150,2.45000005,36,240,6,87,5,124,549571.4938,6154022.338
3,4,17,65,2.6500001,22,925,3,49,5.30000019,140,549571.5481,6196822.079
3,5,24,79,3.3499999,34,3500,3,73,4,130,549671.3487,6202922.988
4,-1,8,18,2.29999995,68,470,2,19,12.5,76,549771.0318,6254522.252
1,-1,15,16,1.79999995,22,925,3,24,5.30000019,70,549771.2049,6271222.589
-1,6,8,17,1.79999995,44,180,2,22,1.5,64,549771.3446,6236022.528
3,0,25,48,33,103,3950,20,18,21.10000038,200,549794.3177,6327260.215
6,4,8,30,2,36,320,2,27,0.5,68,549871.0653,6141522.336
4,9,8,39,2.20000005,108,555,2,15,0.2,68,549871.4666,6220722.535
3,3,14,28,3.04999995,32,715,5,39,4.69999981,120,549871.5364,6178422.174
2,5,11,20,9.39999962,50,1050,5,9,0.5,108,549970.9424,6295122.971
-1,-1,9,16,4,68,640,2,13,8.5,116,549971.424,6247822.155
8,8,8,29,2,60,330,2,27,0.2,88,550071.033,6116022.448
3,-1,16,22,4.19999981,26,3000,3,22,5.69999981,100,550071.2995,6266022.972
-1,-1,16,12,11,58,415,3,12,2,116,550170.9729,6242322.124
3,5,4,23,0.89999998,28,230,5,13,2,114,550271.0117,6102522.508
4,7,13,46,2.20000005,56,490,2,36,7,116,550271.6172,6143922.046
2,6,2,20,2.4000001,29,285,2,12,4.5,66,550371.1949,6263623.12
1,4,35,77,2.5999999,18,340,3,103,0.5,196,550570.9829,6224922.788
2,-1,6,13,1.35000002,30,240,-2,15,0.2,44,550671.1654,6138122.402
7,8,36,83,7.75,66,605,6,51,4,220,550771.2642,6156122.848
-1,3,3,10,1.14999998,18,150,-2,7,2.4000001,46,550970.9253,6299023.628
9,6,18,81,2,66,615,3,34,4.30000019,104,551271.0453,6150722.811
2,6,18,84,2.9000001,25,1450,4,57,4,144,551271.2623,6197722.231
1,8,10,95,2.04999995,70,180,3,36,4.19999981,88,551371.3308,6158222.308
2,4,13,33,3.1500001,44,450,-2,36,1.70000005,104,551371.6218,6126423.162
2,5,19,41,3.3499999,46,625,2,43,2.4000001,118,551571.109,6124022.6
6,6,9,23,1.5,66,180,2,27,2.20000005,44,551571.294,6089222.359
2,6,15,28,3.25,30,480,2,40,1.5,110,551571.4053,6133522.895
1,4,4,6,1.20000005,18,160,-2,6,1,34,551770.684,6290622.865
2,4,7,28,1.20000005,42,170,3,19,2.5,74,551770.848,6275022.759
2,-1,10,13,3.70000005,48,200,3,20,5,108,551771.2128,6245722.042
3,-1,10,13,3.0999999,42,760,3,9,0.40000001,76,551871.1106,6285623.306
11,27,9,31,1.10000002,340,330,2,24,1.89999998,62,551871.3587,6091522.882
-1,5,4,20,2.25,36,405,5,5,6.19999981,90,551970.6545,6316222.863
7,9,39,85,7.9000001,112,12500,5,71,3,146,551970.9305,6168622.844
5,7,24,65,3.95000005,50,1350,3,50,7.80000019,176,551971.1253,6165222.515
3,9,15,65,1.70000005,120,200,2,32,2.5,70,551971.2381,6188922.773
5,11,19,71,7.80000019,91,2200,10,54,12.5,186,551971.4573,6191722.167
6,10,10,24,2.5999999,100,515,2,28,0.2,86,552071.0552,6115322.938
9,0,6,27,1.41999996,87,185,-2,14,4.30000019,92,552157.4874,6318859.204
2,-1,7,22,8.39999962,108,220,4,23,2.5,120,552171.2967,6241522.471
5,11,7,125,5.75,118,770,3,27,2.5,124,552171.4089,6227222.863
-1,0,5,19,2.4000001,67,205,8,11,28.89999962,95,552226.4898,6325946.505
1,6,3,18,1.89999998,34,250,4,8,2.0999999,66,552270.8241,6295322.702
-1,5,12,45,2.1500001,30,480,3,35,5.80000019,160,552371.3242,6201222.769
1,4,12,27,2.20000005,18,560,2,30,0.40000001,70,552371.38,6213422.426
1,5,17,17,4.75,54,555,3,26,2,110,552371.4424,6237722.336
1,13,10,110,3.29999995,132,1800,6,39,5.19999981,138,552470.9823,6206321.998
-1,4,14,41,2.75,64,400,2,52,3.5999999,106,552471.3392,6203422.361
-1,6,6,23,2,58,285,3,23,20.5,68,552571.1967,6255022.533
-1,-1,2,3,2.25,11,530,2,-2,0.89999998,26,552670.5602,6302022.777
2,-1,6,14,2.20000005,22,345,2,11,4,58,552670.8097,6269022.586
4,7,33,66,3,46,1000,4,34,3.9000001,90,552771.2835,6147222.396
4,8,14,47,2,56,1050,3,30,2.9000001,86,552771.5291,6130222.639
5,3,6,34,2.5,26,405,2,17,1.10000002,70,552771.5847,6099222.553
4,6,22,38,4.0999999,36,3600,3,56,0.2,110,552870.9233,6171822.548
4,5,5,18,0.80000001,52,120,2,15,0.5,46,552870.9392,6218921.852
3,3,7,54,1.10000002,30,180,2,25,2.79999995,70,552870.9456,6287223.362
1,12,19,110,3.25,140,545,3,34,2.70000005,110,552871.094,6154622.87
3,-1,8,13,3.5999999,46,455,3,7,0.2,72,552970.8458,6273022.901
2,9,14,30,8.75,82,770,2,20,0.2,136,552971.234,6220922.288
2,6,10,45,3.79999995,46,725,3,28,3.20000005,90,552971.2764,6106622.572
6,9,18,39,4.5,78,845,-2,24,4,108,552971.2954,6112622.448
-1,4,18,13,4.4000001,60,880,3,17,4,106,553071.1411,6249222.393
1,2,7,10,1.70000005,20,545,-2,10,3,52,553071.238,6263622.862
6,12,19,88,1.39999998,122,415,4,39,0.5,86,553171.3934,6210922.155
2,0,11,25,2.4000001,27,765,2,15,5.80000019,63,553212.4273,6329099.897
-1,5,12,12,2,30,470,3,7,1,72,553271.1115,6282122.968
-1,-1,2,18,1.45000005,45,220,2,6,3.4000001,50,553370.3658,6311923.289
-1,-1,6,18,2.20000005,38,500,2,19,5,76,553371.0356,6252822.807
2,6,10,15,3.70000005,29,1150,3,15,0.2,60,553371.0601,6259423.092
-1,-1,7,12,1.79999995,14,440,2,10,7.4000001,60,553371.1112,6266822.75
8,6,17,74,2.79999995,60,590,3,28,1,100,553371.3661,6118622.688
4,13,38,145,3.45000005,142,2000,11,122,12,310,553371.5314,6183022.737
1,7,18,32,3.4000001,66,380,-2,41,1.5,98,553471.382,6186522.301
4,4,41,30,4.4000001,30,1000,3,30,1.79999995,74,553571.0149,6101422.318
-1,0,10,27,3.5,93,310,-2,11,5.69999981,100,553588.2458,6321931.389
2,8,4,29,2.0999999,68,630,2,17,1.5,70,553671.0938,6231822.012
2,4,13,41,2.45000005,42,415,5,42,2.79999995,90,553671.3287,6179821.903
5,6,9,48,3.0999999,60,550,3,22,5.5,100,553671.4231,6110422.76
1,0,5,10,4.19999981,50,255,2,5,2.5,82,553751.1468,6346878.195
4,7,14,52,2.70000005,50,665,2,45,15,146,553871.5413,6176222.496
5,7,32,72,4.4000001,36,760,4,62,5.5,126,553971.5166,6161821.979
3,1,2,14,1,-10,120,-2,3,2,20,554171.5294,6096522.657
1,0,25,49,7,53,1600,10,21,21.10000038,230,554317.4896,6326758.433
-1,5,13,12,3.5,36,570,2,8,2.4000001,76,554370.8548,6284123.191
-1,0,14,30,8.80000019,73,1410,4,11,8.19999981,200,554390.2934,6321773.743
2,5,10,33,2.20000005,40,460,2,21,1.5,80,554470.9585,6142623.059
4,5,17,32,3.9000001,44,655,2,38,4,106,554471.4064,6189422.099
2,-1,18,14,14,34,380,2,14,0.2,126,554570.9376,6276922.886
2,7,14,42,2.45000005,46,395,2,35,3.4000001,92,554571.1379,6155222.487
